"# 文本key","文本value"
"me_result_35",""
"me_result_36","That stone lies on the Dragonhead in Longting. Find a way to get there on your own!"
"me_result_37","Believe it or not,it's up to you!"
"me_result_50010","You taught [{0}] a Skill. Attitude toward you:[Grateful]"
"me_result_50011","You learned a Skill from [{0}]!"
"me_result_50012","[{0}] gave you something."
"me_result_50017","[{0}] became your Dear Friend!"
"me_result_50018","You refused [{0}]'s request to become brothers!"
"me_result_50019","[{0}] стал с тобой близок!"
"me_result_50020","You refused [{0}]'s request to become partners!"
"me_result_50021","[{0}] cured your Ailment!"
"me_result_50022","You refused [{0}]'s offer to cure your Ailment!"
"me_result_50023","[{0}] восстановил твою Живучесть!"
"me_result_50024","Вы отказались от предложения [{0}] восстановить свою Живучесть!"
"me_result_50025","It seems [{0}] is taking you somewhere to have some fun!"
"me_result_50026","You refused [{0}]'s invitation to have fun together!"
"activity_message_tips","Соревнования по Кунг-фу пройдут через полдня"
"join_party","Посетите соревнования по Кунг-фу"
"no_join_party","Не посещайте соревнования по Кунг-фу"
"join_wulin_assembly","Посетить соревнования по Кунг-фу"
"start_wulin_assembly","Начать соревнование по Кунг-фу"
"wulin_assembly_no_one","Соревнования по Кунг-фу не могут начаться, потому что здесь не было присутствующих! !!"
"wulin_assembly_no_one_player","Соревнования по Кунг-фу не могут начаться, потому что здесь не было других участников! !!"
"wulin_assembly_who_win","After brutal fights,[{0}] became the Champion."
"wulin_assembly_title_prestart","Соревнования по Кунг-фу: Ожидается"
"wulin_assembly_playerlist","Список участников"
"wulin_assembly_title_round","Соревнования по Кунг-фу: Матч {0}"
"wulin_assembly_against","vs"
"wulin_assembly_title_end","Соревнования по Кунг-фу: закрытие"
"wulin_assembly_final_winer","Champion"
"wulin_assembly_join","Войти сейчас"
"wulin_assembly_giveup","Отказаться от участия"
"wulin_assembly_player_state_0","Vacant Seat"
"wulin_assembly_player_state_1","Участник"
"wulin_assembly_player_state_2","Reach"
"wulin_assembly_player_state_3","Число побед"
"wulin_assembly_player_state_4","Проиграл"
"auction_join","Join Auction"
"auction_add_goods","Add Auction Item"
"auction_exit_tips","Quit this auction?"
"auction_success","{0} offered the highest bid ({1}) and obtained the item"
"auction_fail","No one interested. This item will be relisted at the next auction."
"auction_start","Start bidding"
"auction_default_price","Reserve price:"
"auction_not_price","No bid"
"auction_price","[{0} ] bids:"
"auction_countdown","Countdown"
"auction_giveup","Give up"
"auction_big_add","Big increment {0}"
"auction_small_add","Small increment {0}"
"auction_my_money","My Funds"
"auction_goods","Auction Items"
"auction_finish","That concludes our auction! Congratulations to all successful bidders. To those who came up empty-handed, don't lose heart. Stay tuned for our next auction. You may find something more remarkable!"
"auction_skill1","Persuade"
"auction_skill2","Intimidate"
"auction_skill3","Mark as Enmity"
"Character_Select_Info","Select personal information"
"Character_View_Move","View move information"
"Character_Select_Euqip","Select equipment"
"Character_Editor_Euqip","Replace equipment"
"Characeter_Unload_Euqip","Uninstalling equipment"
"Character_Select_Skill","Choose Study"
"Character_Editor_Skill","Edit Study"
"Character_Use_Skill","Equipment"
"Character_Unload_Skill","Uninstallation of learning"
"Character_Editor_NeiGong","Edit internal Gong"
"Character_Select_SkillType","Select Skills"
"Character_Change_page","Switch page"
"Character_Moving_Cursor","Mobile cursor"
"Character_Change_Skill_Page","Switching the pagination"
"Character_View_Prop","View attributes"
"作弊界面",""
"Admin_page_Open","Open cheat page"
"Admin_page_title_1","Switch"
"Admin_page_title_2","Button"
"Admin_page_title_3","Enter"
"Admin_page_title_4","Item"
"Admin_page_title_5","other"
"Admin_neili_switch","Infinite Energy"
"Admin_tile_save_switch","Create Save for Land Mass"
"Admin_clone_skill","Clone all Skills"
"Admin_clone_ability","Clone all Abilities"
"Admin_clone_equip","Clone all Legendary Gears"
"Admin_clear_disease","Cleanse all Ailments"
"Admin_open_place_tile_panel","Unlock Land Mass"
"Admin_join_sect","Присоединяйся к секте"
"Admin_add_tongqian","Add Coins"
"Admin_add_yinliang","Add Silver"
"Admin_cure_qili","Восстановить Живучесть"
"Admin_add_zhenqi","Increase Chi"
"Admin_add_xiuwei","Add Kungfu Insight"
"Admin_add_time","Increase Time"
"Admin_tansfer","Teleport"
"Admin_reputation","Apply Reputation"
"Admin_pokemon","Add Pet"
"Admin_switch_open","Open"
"Admin_switch_close","Turn Off"
"Admin_btn_add","Add"
"Admin_btn_apply","Apply"
"Admin_item_craft","Craft Item"
"Admin_item_food","Food"
"Admin_item_material","Material"
"Admin_item_skill","Skill Manual"
"Admin_item_neigong","Inner Kungfu Manual"
"Admin_item_tool","Contraption"
"Admin_item_treasure","Treasure"
"Admin_item_wine","Wine"
"Admin_item_drug","Poison"
"Admin_item_any","Any Item"
"Admin_item_all","Clone All Items"
"Admin_skill","Clone Skill"
"Admin_equip","Clone Gear"
"Admin_neigong","Clone Inner Kungfu"
"Admin_buff","Add Buff"
"Admin_ability","Clone Ability"
"Admin_weather","Change Weather"
"Admin_all_neigong","Clone All Inner Kungfu"
"Admin_all_argument","Unlock All Verbal Duels"
"Admin_unlock_argument","Unlock Verbal Duel"
"Admin_add_crime","Add crime value"
"Admin_disease","Add Ailment"
"Admin_destiny","Add Karma"
"Admin_change_gender","Change Gender"
"Admin_clone_skill_entry","Ключ к клонированию"
"Admin_clone_all_skill_entry","Клонирование всего самого необходимого"
"Admin_clone_jian_xia","Clone Sword Case"
"Admin_attitude","Add Attitude"
"Admin_apply_relation","Apply Relations"
"Admin_list","NPC List"
"Admin_apply_identity","Add Identity"
"Admin_random_relation","Randomize Relations"
"Admin_adventrue","Reload Event"
"Admin_force_adventrue","Force Event"
"Admin_hp_switch","Invulnerable"
"Admin_fashion","Клонировать все моды"
"show_haer_desc_btn","Show enemy details"
"select_hater_text","Select Enemy"
"select_hater_none","You don't have enemies in your last lifetime"
"skill_pre_desc_1","You've got no Weapon yet"
"skill_pre_desc_2","You've got no Concealed Weapon yet"
"skill_pre_desc_3","You have leg disability"
"area_1","Longting"
"area_2","Flora Woods"
"area_3","Mount Taiyue"
"area_4","Fire God Vale"
"area_5","Shadowoods"
"area_6","Wolong Plain"
"area_7","Kuyler"
"area_8","Five-dragon Vale"
"area_9","Mount Millibeast "
"monster_desc_1005","TODO Eagle description"
"monster_name_1","[Monkey]"
"monster_name_1_1","[Big Monkey]"
"monster_name_2","[Snake]"
"monster_name_2_1","[Giant Snake]"
"monster_name_3","[Horse]"
"monster_name_3_1","[Great Horse]"
"monster_name_4","[Ferret]"
"monster_name_4_1","[Big Marten]"
"monster_name_5","[Eagle]"
"monster_name_5_1","[Giant Hawk]"
"monster_name_6","[Black Serpent]"
"monster_name_7","[Fire Lizard]"
"monster_name_8","[Poison Frog]"
"monster_name_9","[Dog]"
"monster_name_9_1","[Great Dog]"
"monster_name_10","[Wolf]"
"monster_name_10_1","[Huge Wolf]"
"monster_name_11","[Rooster]"
"monster_name_11_1","[Big Hen]"
"monster_name_12","[Boar]"
"monster_name_12_1","[Giant Boar]"
"monster_name_13","[Shark]"
"max_zhenqi","Chi"
"max_nei_li","Max Energy"
"max_hp","Макс. Живучесть"
"xuan_yin_zhenqi_lv","<ZQ_XuanYin>[Ци Луны] Ур. {0}</>"
"chun_yang_zhenqi_lv","<ZQ_ChunYang>[Ци Солнца] Ур. {0}</>"
"sha_du_zhenqi_lv","<ZQ_DuSha>[Ци Яда] Ур. {0}</>"
"hun_yuan_zhenqi_lv","<ZQ_HunYuan>[Ци Гармонии] Ур. {0}</>"
"zhenqi_lv_0","<TipGray>No Bonus</>"
"xuan_yin_zhenqi_lv_1","<TipGray>Урон навыками Солнца увеличен на</> <TDName>50%</>\\n<TipGray>(когда высший уровень истинной энергии это Ци Солнца)</> "
"xuan_yin_zhenqi_lv_2","<TipGray>Урон навыками Солнца увеличен на</> <TDName>100%</>\\n<TipGray>(когда высший уровень истинной энергии это Ци Солнца)</>\\n<TipGray>Статус возгорания исчезает быстрее на</> <TDName>1</>"
"xuan_yin_zhenqi_lv_3","<TipGray>Урон навыками Солнца увеличен на</> <TDName>150%</>\\n<TipGray>(когда высший уровень истинной энергии это Ци Солнца)</>\\n<TipGray>Статус возгорания исчезает быстрее на</> <TDName>2</>\\n<TipGray>Добавлена устойчивость к скрытому недугу холода</>"
"xuan_yin_zhenqi_lv_4","<TipGray>Урон навыками Солнца увеличен на</> <TDName>200%</>\\n<TipGray>(когда высший уровень истинной энергии это Ци Солнца)</>\\n<TipGray>Статус возгорания исчезает быстрее на</> <TDName>3</>\\n<TipGray>Добавлена устойчивость к скрытому недугу холода</>"
"xuan_yin_zhenqi_lv_5","<TipGray>Урон навыками Солнца увеличен на</> <TDName>250%</>\\n<TipGray>(когда высший уровень истинной энергии это Ци Солнца)</>\\n<TipGray>Статус возгорания исчезает быстрее на</> <TDName>4</>\\n<TipGray>Добавлена устойчивость к скрытому недугу холода</>\\n<TipGray>Эффект навыков Солнца увеличен вдвое</>"
"chun_yang_zhenqi_lv_1","<TipGray>Урон навыками Луны увеличен на</> <TDName>50%</>\\n<TipGray>(когда высший уровень истинной энергии это Ци Луны)</>"
"chun_yang_zhenqi_lv_2","<TipGray>Урон навыками Луны увеличен на</> <TDName>100%</>\\n<TipGray>(когда высший уровень истинной энергии это Ци Луны)</>\\n<TipGray>Статус обморожения исчезает быстрее на</> <TDName>1</>"
"chun_yang_zhenqi_lv_3","<TipGray>Урон навыками Луны увеличен на</> <TDName>150%</>\\n<TipGray>(когда высший уровень истинной энергии это Ци Луны)</>\\n<TipGray>Статус обморожения исчезает быстрее на</> <TDName>2</>\\n<TipGray>Добавлена устойчивость к скрытому недугу жары</>"
"chun_yang_zhenqi_lv_4","<TipGray>Урон навыками Луны увеличен на</> <TDName>200%</>\\n<TipGray>(когда высший уровень истинной энергии это Ци Луны)</>\\n<TipGray>Статус обморожения исчезает быстрее на</> <TDName>3</>\\n<TipGray>Добавлена устойчивость к скрытому недугу жары</>"
"chun_yang_zhenqi_lv_5","<TipGray>Урон навыками Луны увеличен на</> <TDName>250%</>\\n<TipGray>(когда высший уровень истинной энергии это Ци Луны)</>\\n<TipGray>Статус обморожения исчезает быстрее на</> <TDName>4</>\\n<TipGray>Добавлена устойчивость к скрытому недугу жары</>\\n<TipGray>Эффект навыков Луны увеличен вдвое</>"
"sha_du_zhenqi_lv_1","<TipGray>Урон навыками Яда увеличен на</> <TDName>50%</>\\n<TipGray>(когда высший уровень истинной энергии это Ци Яда)</>"
"sha_du_zhenqi_lv_2","<TipGray>Урон навыками Яда увеличен на</> <TDName>100%</>\\n<TipGray>(когда высший уровень истинной энергии это Ци Яда)</>\\n<TipGray>Статус миазм исчезает быстрее на</> <TDName>1</>"
"sha_du_zhenqi_lv_3","<TipGray>Урон навыками Яда увеличен на</> <TDName>150%</>\\n<TipGray>(когда высший уровень истинной энергии это Ци Яда)</>\\n<TipGray>Статус миазм исчезает быстрее на</> <TDName>2</>\\n<TipGray>Добавлена устойчивость к скрытому недугу яда</>"
"sha_du_zhenqi_lv_4","<TipGray>Урон навыками Яда увеличен на</> <TDName>200%</>\\n<TipGray>(когда высший уровень истинной энергии это Ци Яда)</>\\n<TipGray>Статус миазм исчезает быстрее на</> <TDName>3</>\\n<TipGray>Добавлена устойчивость к скрытому недугу яда</>"
"sha_du_zhenqi_lv_5","<TipGray>Урон навыками Яда увеличен на</> <TDName>250%</>\\n<TipGray>(когда высший уровень истинной энергии это Ци Яда)</>\\n<TipGray>Статус миазм исчезает быстрее на</> <TDName>4</>\\n<TipGray>Добавлена устойчивость к скрытому недугу яда</>\\n<TipGray>Эффект навыков Яда увеличен вдвое</>"
"hun_yuan_zhenqi_lv_1","<TipGray>Урон навыками Гармонии увеличен на</> <TDName>50%</>\\n<TipGray>(когда высший уровень истинной энергии это Ци Гармонии)</>"
"hun_yuan_zhenqi_lv_2","<TipGray>Урон навыками Гармонии увеличен на</> <TDName>100%</>\\n<TipGray>(когда высший уровень истинной энергии это Ци Гармонии)</>\\n<TipGray>Статус возгорания исчезает быстрее на</> <TDName>1</>"
"hun_yuan_zhenqi_lv_3","<TipGray>Урон навыками Гармонии увеличен на</> <TDName>150%</>\\n<TipGray>(когда высший уровень истинной энергии это Ци Гармонии)</>\\n<TipGray>Статус возгорания исчезает быстрее на</> <TDName>2</>\\n<TipGray>Добавлена устойчивость к скрытому недугу безумия</>"
"hun_yuan_zhenqi_lv_4","<TipGray>Урон навыками Гармонии увеличен на</> <TDName>200%</>\\n<TipGray>(когда высший уровень истинной энергии это Ци Гармонии)</>\\n<TipGray>Статус возгорания исчезает быстрее на</> <TDName>3</>\\n<TipGray>Добавлена устойчивость к скрытому недугу безумия</>"
"hun_yuan_zhenqi_lv_5","<TipGray>Урон навыками Гармонии увеличен на</> <TDName>250%</>\\n<TipGray>(когда высший уровень истинной энергии это Ци Гармонии)</>\\n<TipGray>Статус возгорания исчезает быстрее на</> <TDName>4</>\\n<TipGray>Добавлена устойчивость к скрытому недугу безумия</>\\n<TipGray>Эффект навыков Гармонии увеличен вдвое</>"
"xuan_yin_zhenqi_lv_skill_1","<TipGray>Урон навыками Солнца увеличен на</> <TDName>50%</>"
"xuan_yin_zhenqi_lv_skill_2","<TipGray>Урон навыками Солнца увеличен на</> <TDName>100%</>"
"xuan_yin_zhenqi_lv_skill_3","<TipGray>Урон навыками Солнца увеличен на</> <TDName>150%</>"
"xuan_yin_zhenqi_lv_skill_4","<TipGray>Урон навыками Солнца увеличен на</> <TDName>200%</>"
"xuan_yin_zhenqi_lv_skill_5","<TipGray>Урон навыками Солнца увеличен на</> <TDName>250%</>\\n<TipGray>Эффект навыков Солнца увеличен вдвое</>"
"chun_yang_zhenqi_lv_skill_1","<TipGray>Урон навыками Луны увеличен на</> <TDName>50%</>"
"chun_yang_zhenqi_lv_skill_2","<TipGray>Урон навыками Луны увеличен на</> <TDName>100%</>"
"chun_yang_zhenqi_lv_skill_3","<TipGray>Урон навыками Луны увеличен на</> <TDName>150%</>"
"chun_yang_zhenqi_lv_skill_4","<TipGray>Урон навыками Луны увеличен на</> <TDName>200%</>"
"chun_yang_zhenqi_lv_skill_5","<TipGray>Урон навыками Луны увеличен на</> <TDName>250%</>\\n<TipGray>Эффект навыков Луны увеличен вдвое</>"
"sha_du_zhenqi_lv_skill_1","<TipGray>Урон навыками Яда увеличен на</> <TDName>50%</>"
"sha_du_zhenqi_lv_skill_2","<TipGray>Урон навыками Яда увеличен на</> <TDName>100%</>"
"sha_du_zhenqi_lv_skill_3","<TipGray>Урон навыками Яда увеличен на</> <TDName>150%</>"
"sha_du_zhenqi_lv_skill_4","<TipGray>Урон навыками Яда увеличен на</> <TDName>200%</>"
"sha_du_zhenqi_lv_skill_5","<TipGray>Урон навыками Яда увеличен на</> <TDName>250%</>\\n<TipGray>Эффект навыков Яда увеличен вдвое</>"
"hun_yuan_zhenqi_lv_skill_1","<TipGray>Урон навыками Гармонии увеличен на</> <TDName>50%</>"
"hun_yuan_zhenqi_lv_skill_2","<TipGray>Урон навыками Гармонии увеличен на</> <TDName>100%</>"
"hun_yuan_zhenqi_lv_skill_3","<TipGray>Урон навыками Гармонии увеличен на</> <TDName>150%</>"
"hun_yuan_zhenqi_lv_skill_4","<TipGray>Урон навыками Гармонии увеличен на</> <TDName>200%</>"
"hun_yuan_zhenqi_lv_skill_5","<TipGray>Урон навыками Гармонии увеличен на</> <TDName>250%</>\\n<TipGray>Эффект навыков Гармонии увеличен вдвое</>"
"like_nothing","У меня нет любимых предметов."
"like_desc","Мне нравится"
"hate_desc","Я ненавижу"
"like_hate_desc_0","Sneak"
"like_hate_desc_1","Loot"
"like_hate_desc_2","Misdeed"
"like_hate_desc_3","Steal"
"like_hate_desc_4","Set a fire"
"like_hate_desc_5","Drink wine"
"like_hate_desc_6","Beg"
"like_hate_desc_7","Poisoning"
"like_hate_desc_8","Music"
"like_hate_desc_9","Spar"
"like_hate_desc_10","Treasure"
"like_hate_desc_11","Divine Weapon"
"tile_place_loading","Expanding World...\\nSaving..."
"tile_place_rotate","Rotate new area"
"tile_show_tips_sect","Появляется новая секта"
"tile_show_tips_bandits","Bandits Appear"
"tile_show_tips_royal","Appears in the dynasty"
"tile_unlock_need","Unlock Conditions"
"tile_normal","Normal"
"tile_special","Special"
"challenge_bonus_desc","Choose a Blessing"
"challenge_bonus_title","Complete [{0}] Trials:Unlock New Area"
"challenge_bonus_1","Атака ладонью"
"challenge_bonus_2","Fist DMG"
"challenge_bonus_3","Kick DMG"
"challenge_bonus_4","Weapon DMG"
"challenge_bonus_5","Concealed Weapon DMG"
"challenge_bonus_6","Макс. Живучесть"
"challenge_bonus_7","Ци"
"challenge_bonus_8","Загрузить"
"challenge_bonus_9","Взгляд на Кунг-фу"
"challenge_bonus_10","Энергия"
"challenge_desc_1","<TipGray>Собирать</><TDName> {0}/{1} </><TipGray></><Yellow>{2}</>"
"challenge_desc_2","<TipGray>Строить</><TDName> {0}/{1} </><Yellow>{2}</><Yellow> Нажмите ([1=34])</>"
"challenge_desc_3","<TipGray>Получить с помощью </><Yellow>Камня Просвещения</><TipGray> в этой области</>"
"challenge_desc_4","<TipGray>Найдите</><Yellow> спрятанный </><TipGray>сундук в этой области</>"
"challenge_desc_5","<TipGray>Создать</><TDName> {0}/{1} </><Yellow>{2}</> <TipGray>Нажмите ([1=7])</>\\n<Yellow>(Открыть [Создание предметов] в рюкзаке)</>"
"challenge_desc_6","<TipGray>Поражение</><TDName> {0}/{1} </><TipGray></><Yellow>{2}</>"
"challenge_desc_7","<TipGray>Приобрести навык </><Yellow>[{0}]</>"
"challenge_desc_8","<TipGray>Освойте Нейгуны </><Yellow>[{0}]</> <TipGray>во время сна</>"
"challenge_desc_9_0","<TipGray>Получить</><TDName> {0}/{1} </><TipGray>Снаряжение DEF класса </><Yellow>{2}</><TipGray> или выше</>"
"challenge_desc_9_1","<TipGray>Получить</><TDName> {0}/{1} </><TipGray>Оружие класса </><Yellow>{2}</><TipGray> или выше</>"
"challenge_desc_9_2","<TipGray>Получить</><TDName> {0}/{1} </><TipGray>Скрытое оружие класса </><Yellow>{2}</><TipGray> или выше</>"
"challenge_desc_10","<TipGray>Станьте </><Yellow>чемпионом</>"
"challenge_desc_11","<TipGray>Нажмите</> <TDNum>V</> <TipGray>, чтобы активировать Нейгуны </><Yellow>[{0}]</> <TipGray>в Меридианах</>"
"challenge_desc_12","<TipGray>Tame</><TDName> {0}/{1} </><TipGray></><Yellow>{2}</>\\n<Yellow>(Ученик с Управляющий конюшней или тренируйтесь, создавая ловушки)</>"
"challenge_desc_15","<TipGray>Уничтожьте все объекты в</><TDName> {0}/{1} </><Yellow>лагерях бандитов (включая лачуги, клетки, костры и заборы)</><TipGray> в этом регионе</>"
"challenge_desc_16","<TipGray>Украсть</><TDName> {0}/{1} </><TipGray>предметы у других</>"
"challenge_desc_17","<TipGray>Используйте</><TDName> [Broken Bowl] </><TipGray>, чтобы просить милостыню и зарабатывать</><TDName> {0}/{1} </><TipGray>монеты</>\\n<Yellow>(Открыть [Создание предметов] в рюкзаке)</>"
"challenge_desc_18","<TipGray>Используйте золотую акупунктуру для лечения заболеваний</><TDName> {0}/{1} </><TipGray>пациентов</>"
"challenge_desc_19","<TipGray>Помолитесь о </><Yellow>Снеге</> <TipGray>в Храме Городских Стражей и </><Yellow>измените температуру</>"
"challenge_desc_20","<TipGray>Заработайте</><TDName> {0}/{1} </><TipGray>монеты, играя в Цинь</>\\n<Yellow>(Выступайте в Доме музыки; вы можете пригласите еще несколько человек послушать вашу игру. )</>"
"challenge_desc_21","<TipGray>Обучать /nНейгуну других</><TDName> {0}/{1} </><TipGray>раз</>"
"challenge_desc_22","<TipGray>Проникните в зал секты в этой области</><Yellow>Украдите сундук с сокровищами</>"
"challenge_desc_23","<TipGray>Создать </><Yellow>секту</>"
"challenge_desc_24","<TipGray>Помогать другим</><TDName> {0}/{1} </><TipGray>раз</>\\n<Yellow>(Обучать других или выполнять чужие поручения)</>"
"challenge_desc_25","<TipGray>Приготовьте</><Yellow> 3-звездочную </><TipGray>еду</>"
"challenge_desc_26","<TipGray>Обучаться /nНейгуну у других</><TDName> {0}/{1} </><TipGray>раз</>"
"challenge_desc_27","<TipGray>Poison</><TDName> {0}/{1} </><TipGray>люди</>\\n<Yellow>(Миазмы можно наносить на источники, кровати и таблицы)</>"
"challenge_desc_28","<TipGray>Имейте</><TDName> {1}/{2} </><TipGray> стопки </><Yellow>{0}</>"
"challenge_desc_29","<TipGray>Получить голову</><Yellow>мастер секты этой области</>"
"challenge_desc_30","<TipGray>Задержать</><TDName> {0}/{1} </><TipGray>Бандиты</>"
"challenge_desc_31","<TipGray>Gather</><TDName> {0}/{1} </><TipGray></><Yellow>{2}</>"
"challenge_desc_32","<TipGray>Продвинутая способность</><Yellow> {0} </><TipGray>до</><Yellow> {1} </>\\n<Yellow>(Улучшите свою технику, рубя древесина, добыча полезных ископаемых и собирательство)</>"
"challenge_desc_33","<TipGray>Комиссия</><Yellow> {0}/{1} </><TipGray>люди, чтобы защитить себя</>\\n<Yellow>(Отдавать комиссию другим)</> "
"challenge_desc_34","<TipGray>Пригласите</><Yellow> {0}/{1} </><TipGray>людей на развлекательные мероприятия</>\\n<Yellow>(Пригласите других присоединиться к вам на весеннем мероприятии , Таверна или Дом музыки для ванн и напитков)</>"
"challenge_desc_35","<TipGray>Используйте костер для приготовления пищи</><Yellow> {0}/{1} </><Yellow>{2}</>\\n<Yellow>(выберите Костер в рюкзаке и поместите на земле для взаимодействия)</>"
"challenge_desc_36","<TipGray>Используйте станцию в конюшне, чтобы перейти в</><Yellow> {0} </>"
"challenge_desc_37","<TipGray>Активировать хотя бы</><Yellow> {0}/{1} </><TipGray>Нейгунов</>"
"challenge_desc_38","<TipGray>Используйте карту сокровищ и найдите сокровище</>"
"challenge_desc_39","<TipGray>Получить репутацию </><Yellow>{0}</>\\n<Yellow>(Помочь другим несколько раз получить оценку)</>"
"challenge_desc_40","<TipGray>Посадите и соберите урожай </><Yellow>Солодки</>"
"challenge_desc_41","<TipGray>Станьте</><Yellow> {2} </><TipGray>с</><Yellow> {0}/{1} </><TipGray>людьми</>\\ n<Yellow>(Вы можете установить отношения, когда положительное отношение достигнет 400)</>"
"challenge_desc_42","<TipGray>Устранить</><TDName> {0}/{1} </><Yellow>бандитов</><TipGray> в этой области</>"
"challenge_desc_43","<TipGray>Украдите в общей сложности</><TDName> {0}/{1} </><TipGray>предметов скрытностью</>"
"challenge_desc_44","<TipGray>Заработайте в общей сложности</><TDName> {0}/{1} </><TipGray>монеты, управляя объектами</>"
"tile_challenge_tile","<RenWu>Проба: [{0}]</>"
"tile_challenge_tile_2","Цель испытания [{0}]"
"tile_unlock_desc","В мире есть как минимум {0}/{1} сект"
"tile_unlock_desc_1","Имеете {0}/{1} Земельные массивы в мире"
"tile_cur_tile","<RenWu>Текущий лот: [{0}]</>"
"DX_Cao_A001","Шестимильная тоска"
"DX_Cao_A002","Чистая волна озера"
"DX_Cao_A003","Гора Яндан"
"DX_Cao_A004","Деревня Скайленда"
"DX_Cao_A005","Гора Змеиный хребет"
"DX_Cao_A006","Хребет Черного Ворона"
"DX_Cao_A100","Деревня Рокхед"
"DX_Cao_A101","Деревня Стоунстеп"
"DX_Cao_A200","Выветриваемая гора"
"DX_Cao_A201","Гора Миллибист"
"DX_Cao_A300","Соревнование по Кунг-фу"
"DX_RongYan_A001","Лавовый вулкан"
"DX_RongYan_A002","Лавовый карьер"
"DX_RongYan_A100","Злодей Вейл"
"DX_RongYan_A101","Цитадель Красного Облака"
"DX_RongYan_A200","Рубиклифф Равин"
"DX_RongYan_A201","Долина Драконьего хребта"
"DX_RongYan_B001","Гроты Редклифф"
"DX_RongYan_B002","Стена пламени"
"DX_RongYan_C001","Ласточкин водопад"
"DX_RongYan_C002","Гора Зеленая Раковина"
"DX_RongYan_D001","Разрезанный Палм-Каньон"
"DX_RongYan_D002","Пасс бычьего удержания"
"DX_RongYan_E001","Луг падающего коня"
"DX_RongYan_E002","Пещера Тысячи Утесов"
"DX_Sha_A001","Цитадель Песчаного Пада"
"DX_Sha_A002","Гравийный бассейн"
"DX_Sha_A100","Деревня Боулдер"
"DX_Sha_A101","Поместье Туманного Облака"
"DX_Sha_A200","Нора девяти волков"
"DX_Sha_A201","Темное ущелье"
"DX_Sha_B001","Платформа для охоты на орла"
"DX_Sha_B002","Хребет Уизерграсс"
"DX_Sha_C001","Платформа заката"
"DX_Sha_C002","Буддийский благоговенный луг"
"DX_Sha_D001","Луг для жертвоприношения овец"
"DX_Sha_D002","Дикий песчаный склон"
"DX_Sha_E001","Озеро Листовых Парусов"
"DX_Sha_E002","Паспорт заячьих ушей"
"DX_Tu_A001","Миазмовый хребет"
"DX_Tu_A002","Пустынный хребет"
"DX_Tu_A100","Кленовая усадьба"
"DX_Tu_A101","Peach Retreat Village"
"DX_Tu_A200","Бамбуковый пруд"
"DX_Tu_A201","Пьяное Бессмертное озеро"
"DX_Tu_B001","Аддер-Ридж"
"DX_Tu_B002","Железный поток"
"DX_Tu_C001","Змеиный лес"
"DX_Tu_C002","Зеркальное озеро Стоунвудс"
"DX_Tu_D001","Голден Манки Ридж"
"DX_Tu_D002","Пшеничный Гамлет"
"DX_Tu_E001","Обезьяний холм"
"DX_Tu_E002","Лабиринт девяти испытаний"
"DX_Xue_A001","Бездное ледяное озеро"
"DX_Xue_A002","Снегопадное озеро"
"DX_Xue_A003","Снежная земля ледяной росы"
"DX_Xue_A100","Поместье Ледяных Плам"
"DX_Xue_A101","Деревня Снежных Сосен"
"DX_Xue_A200","Гора Бэйманг"
"DX_Xue_A201","Гора Слива"
"DX_Xue_B001","Поток ледяного червя"
"DX_Xue_B002","Долина Чудесного пика"
"DX_Xue_C001","Хорёк Пик"
"DX_Xue_C002","Ледниковый хребет"
"DX_Xue_D001","Пружина силовой линии"
"DX_Xue_D002","Наклон лобового стекла"
"DX_Xue_E001","Лох Драконьего Клыка"
"DX_Xue_E002","Десять миль"
"DX_DaXing_A001","Город Драконьего Источника"
"DX_DaXing_A002","Город Линьян"
"DX_DaXing_A003","Город восхода ветров"
"DX_DaXing_A004","Город извилистого дракона"
"DX_DaXing_A005","Город Киндкрик"
"DX_DaXing_A006","Город Клаудрест"
"DX_DaXing_A007","Город Джейдкрик"
"DX_DaXing_A008","Город Скайбрук"
"DX_DaXing_A009","Гора Клаудшейд"
"DX_DaXing_A101","Гора Каламити"
"DX_DaXing_A102","Секта Зеленого пика"
"DX_DaXing_A103","Банда Майлза"
"DX_DaXing_A104","Секта Ваджры"
"DX_DaXing_A105","Храм Безмятежности"
"DX_DaXing_A106","Buddha Rock"
"DX_DaXing_A107","LinLang Swordhouse"
"DX_DaXing_A108","Dragonlord Cliff"
"X_PingYuan_A004","Бесплодные равнины"
"X_ShaMo_A006","Луг Летающего Меча"
"X_HuPo_A004","Колодец Теневого Дракона"
"X_RongYan_A001","Пылающая яма"
"X_ZhaoZe_A001","Стигийское болото"
"X_XueYuan_A006","Замерзшая пропасть"
"DX_DaXing_A100","Храм Хуанмос"
"DX_DaXing_A011","Запретный город Данай"
"tile_desc_300001","Обычный\\nУютный"
"tile_desc_300100","Обычный\\nУютный"
"tile_desc_300027","Обычный\\nУютный"
"tile_desc_300033","Обычный\\nУютный"
"tile_desc_300032","Обычный\\nУютный"
"tile_desc_300047","Обычный\\nУютный"
"tile_desc_300053","Равнины\\\nПриятный климат"
"tile_desc_300010","Лава\\nЖар 5"
"tile_desc_300012","Лава\\nЖар 5"
"tile_desc_300106","Лава\\nЖар 5"
"tile_desc_300014","Лава\\nЖар 5"
"tile_desc_300107","Лава\\nЖар 5"
"tile_desc_300052","Лава\\nЖар 5"
"tile_desc_300018","Пустыня\\nЖара 2"
